m,CountingSort,sd_CS,QuickSort,sd_QS,InsertionSort,sd_IS,QuickSort3Ways,sd_QS3W
10,7.8562e-05,4.48676e-07,0.0229348,3.37754e-05,0.0397588,0.0002144,0.000271354,1.38413e-05
11,7.85415e-05,1.87826e-07,0.0209001,2.36905e-05,0.0404065,0.000220159,0.000277792,1.40737e-05
12,7.87085e-05,1.92693e-07,0.019253,2.12948e-05,0.0408477,0.000336914,0.000303021,1.63641e-05
14,7.8313e-05,1.78897e-07,0.0165675,3.35987e-05,0.0409943,0.0003821,0.000315604,8.69244e-06
15,7.8333e-05,1.8899e-06,0.015503,3.37704e-05,0.0414052,0.000288324,0.000328167,1.78186e-05
17,7.83125e-05,1.91882e-07,0.0137759,2.5602e-05,0.041834,0.000254048,0.000343187,1.97322e-05
20,7.82085e-05,1.02586e-07,0.0118077,2.56487e-05,0.0422373,0.000296475,0.000366,1.34937e-05
22,7.8125e-05,1.9872e-06,0.0108123,2.40536e-05,0.0425113,0.000310958,0.000371666,1.04029e-05
25,7.81455e-05,1.58348e-07,0.0096319,3.20613e-05,0.0424604,0.000161305,0.000395729,1.43605e-05
28,7.8083e-05,1.53614e-07,0.008655,2.7923e-05,0.042695,0.000211447,0.000415917,2.91119e-05
31,7.80625e-05,1.13614e-07,0.00788481,4.44206e-05,0.0432491,0.000226233,0.000432541,1.81638e-05
35,7.8187e-05,1.39394e-07,0.00707598,3.13097e-05,0.0431943,0.000238954,0.000441229,1.39024e-05
40,7.8292e-05,8.7066e-07,0.00629204,3.41247e-05,0.0432346,0.000198862,0.000450917,1.75956e-05
45,7.8208e-05,1.16266e-07,0.00566579,2.63938e-05,0.0435096,0.000332925,0.000473416,1.75903e-05
50,7.82295e-05,1.18139e-07,0.00517696,2.27056e-05,0.0435013,0.00018745,0.000490521,1.95291e-05
57,7.8271e-05,8.79966e-08,0.00465585,3.38107e-05,0.0435835,0.000253492,0.00051198,2.48114e-05
64,7.8312e-05,1.43798e-07,0.00421798,2.13868e-05,0.0435828,0.00032325,0.000530376,9.60991e-06
72,7.8209e-05,1.15428e-07,0.00386906,2.2075e-05,0.0437381,0.000246625,0.000556083,2.12023e-05
81,7.82915e-05,8.82304e-07,0.00351613,3.51784e-05,0.0439318,0.000344076,0.000560355,1.66957e-05
91,7.825e-05,1.1672e-07,0.00322483,1.24036e-05,0.0441251,0.000236768,0.000577791,1.3995e-05
102,7.83755e-05,1.22212e-07,0.00298808,1.2921e-05,0.0439671,0.000317447,0.000598917,1.73203e-05
114,7.84165e-05,1.10177e-07,0.00274808,1.81556e-05,0.0440186,0.000201438,0.00061725,9.04979e-06
129,7.84795e-05,6.72546e-06,0.0025404,2.35614e-05,0.0440126,0.000222862,0.000627187,1.15909e-05
145,7.8479e-05,1.21686e-07,0.00235606,4.01592e-05,0.0440982,0.000395659,0.0006485,1.27068e-05
162,7.8604e-05,7.97785e-07,0.00221419,2.17654e-05,0.0441318,0.000299382,0.000682312,2.06461e-05
183,7.86665e-05,1.12323e-07,0.00205477,2.78957e-05,0.044123,0.000243001,0.000696417,1.78705e-05
205,7.87295e-05,1.06644e-07,0.00195587,3.27606e-05,0.0442837,0.00034154,0.000708166,1.86225e-05
231,7.88335e-05,1.01137e-07,0.00181198,2.3988e-05,0.0442861,0.000388658,0.000719,2.64487e-05
259,7.88545e-05,8.32508e-08,0.00172298,1.77881e-05,0.0442789,0.00024076,0.00075925,2.41848e-05
291,7.9083e-05,1.33073e-07,0.00164598,2.23072e-05,0.044139,0.000297186,0.000757771,1.86694e-05
327,7.91665e-05,8.764e-07,0.00153983,1.41146e-05,0.0440718,0.000411402,0.000778459,2.34827e-05
367,7.9354e-05,1.02137e-07,0.00147246,1.13163e-05,0.0442818,0.000255477,0.000809667,2.00526e-05
413,7.9542e-05,8.50251e-07,0.00141719,1.88586e-05,0.0443849,0.000256294,0.000825583,2.66133e-05
464,7.9708e-05,1.51901e-07,0.00136492,1.6452e-05,0.044272,0.00018769,0.000838812,2.36354e-05
521,7.99585e-05,1.73228e-07,0.0013219,1.40084e-05,0.0441887,0.0003085,0.000858354,2.0616e-05
585,8.01875e-05,9.58216e-07,0.0012954,1.68888e-05,0.0443991,0.000241006,0.000872874,2.6805e-05
657,8.0458e-05,8.29183e-07,0.00125015,1.97913e-05,0.0442985,0.000206815,0.000894125,1.7496e-05
739,8.07085e-05,1.32983e-07,0.0012116,2.12424e-05,0.0442947,0.000215575,0.000917979,2.23648e-05
830,8.1125e-05,8.67437e-07,0.00118071,1.79393e-05,0.0443168,0.000247605,0.00093225,1.34294e-05
932,8.1604e-05,8.51521e-07,0.00116117,1.9823e-05,0.0444021,0.000237976,0.000944146,1.18777e-05
1047,8.1917e-05,1.29749e-07,0.00115242,1.60113e-05,0.0443456,0.000411348,0.000981021,3.45861e-05
1176,8.2521e-05,2.26083e-06,0.00111821,2.44224e-05,0.0443135,0.000262249,0.000990375,1.83611e-05
1321,8.30835e-05,8.00312e-07,0.00112202,1.19478e-05,0.0443036,0.000222158,0.00102812,2.61185e-05
1484,8.3625e-05,1.14376e-07,0.0011185,1.7924e-05,0.0444245,0.000439435,0.00104425,1.58797e-05
1668,8.4417e-05,9.82629e-08,0.00111713,1.57105e-05,0.0443341,0.000214454,0.00104585,1.95643e-05
1873,8.51665e-05,1.25687e-07,0.0011235,2.41798e-05,0.0444704,0.000255842,0.00106915,2.07441e-05
2104,8.61455e-05,1.39603e-07,0.00110494,2.28769e-05,0.0443266,0.000252837,0.00110394,1.85283e-05
2364,8.71665e-05,8.56724e-07,0.00109825,1.54694e-05,0.0445762,0.000326423,0.00111121,1.11119e-05
2656,8.82705e-05,2.31228e-07,0.00111242,2.25039e-05,0.0444703,0.000205137,0.00113546,1.97728e-05
2983,8.95e-05,2.76927e-07,0.00109458,1.89013e-05,0.0444464,0.000424763,0.001162,1.84146e-05
3351,9.09585e-05,5.45828e-07,0.00110073,2.6707e-05,0.0443084,0.000336724,0.00117235,3.39114e-05
3764,9.2604e-05,8.56536e-07,0.00109556,1.35185e-05,0.0444083,0.000355323,0.00121052,9.78503e-06
4229,9.43545e-05,2.46014e-07,0.00110504,3.13774e-05,0.0444321,0.000397377,0.0012166,2.09218e-05
4750,9.6416e-05,9.14778e-07,0.00110058,1.49937e-05,0.0443672,0.000314923,0.00122248,1.94777e-05
5336,9.86665e-05,2.28864e-07,0.00110823,2.55815e-05,0.0443246,0.000245672,0.00123792,8.42123e-06
