n,CountingSort,sd_CS,QuickSort,sd_QS,InsertionSort,sd_IS,QuickSort3Ways,sd_QS3W
100,0.000738437,9.68801e-05,3.84733e-06,1.37237e-07,3.35417e-06,6.7035e-07,3.986e-06,1.10065e-07
107,0.0006165,6.66852e-05,2.20313e-06,5.25364e-08,2.29175e-06,7.18074e-07,2.89063e-06,4.72226e-07
114,0.000516208,2.88434e-05,2.151e-06,9.15227e-08,2.21887e-06,1.25194e-07,2.78662e-06,4.86977e-08
123,0.000465125,2.68794e-05,2.10937e-06,3.162e-08,2.29175e-06,8.71727e-08,2.60425e-06,9.7828e-08
132,0.000425292,1.84902e-05,2.0625e-06,3.33521e-08,2.36462e-06,1.23087e-07,2.53125e-06,6.1073e-08
141,0.000386875,4.75364e-06,2.21362e-06,7.49579e-08,2.63025e-06,1.35628e-07,2.77075e-06,8.3721e-08
151,0.000389626,2.71556e-06,2.32288e-06,4.34215e-08,3.01563e-06,7.94002e-08,2.92713e-06,4.61072e-08
162,0.000388833,3.4867e-06,2.58325e-06,9.78321e-08,4.59733e-06,4.00456e-07,4.1805e-06,4.92714e-07
174,0.000389167,5.14416e-06,2.80725e-06,6.34152e-08,5.32633e-06,1.75967e-07,4.757e-06,9.75148e-08
187,0.000387583,2.85316e-06,4.007e-06,9.29404e-08,6.01383e-06,1.12334e-07,5.111e-06,8.46143e-08
200,0.000389646,2.56808e-06,4.5e-06,1.45594e-07,6.78467e-06,2.16966e-06,5.46517e-06,1.51471e-07
215,0.000389667,2.80116e-06,4.75e-06,9.93884e-08,9.60067e-06,1.99232e-06,6.10433e-06,1.78445e-07
231,0.000391166,2.03891e-06,5.16667e-06,1.91024e-07,1.36147e-05,6.23121e-07,6.56267e-06,6.71991e-07
247,0.000391166,3.10092e-06,5.56933e-06,7.98121e-08,1.5146e-05,3.55889e-07,1.0604e-05,1.77498e-06
265,0.00039125,2.18724e-06,6.08333e-06,9.52198e-07,1.74378e-05,2.21972e-07,1.17395e-05,1.84258e-07
284,0.00039225,1.88985e-06,9.82275e-06,1.6602e-07,1.92397e-05,9.48522e-07,1.2771e-05,4.75705e-07
305,0.000391875,1.99091e-06,1.06773e-05,3.14146e-07,2.22813e-05,6.72236e-07,1.36458e-05,2.4156e-07
327,0.000393042,2.20775e-06,1.18228e-05,2.60216e-07,2.58857e-05,5.11169e-07,1.46248e-05,3.91887e-07
351,0.000393125,1.96802e-06,1.25208e-05,5.04063e-07,5.8542e-05,1.38334e-05,1.61458e-05,4.46727e-07
376,0.000393166,6.56477e-06,1.38437e-05,2.36874e-07,6.7354e-05,3.0773e-06,1.73855e-05,5.92691e-07
403,0.000391896,1.62689e-06,1.48645e-05,3.19711e-07,7.65835e-05,2.32165e-06,1.84373e-05,4.70659e-07
432,0.000394083,1.00189e-06,1.60625e-05,5.75938e-07,8.7375e-05,2.04404e-06,2.03333e-05,6.80367e-07
